id:ID,sector,note
VCB,banking_state,Largest state bank; dominant in forex and trade finance. Regulatory news affects all banks. | Nhà nước sở hữu chéo VCB-BID-CTG qua NHNN/MOF.
BID,banking_state,Heavy exposure to infrastructure and SOE loans. Infrastructure policy directly impacts BID. | BID là công ty mẹ của BSI (BIDV Securities).
CTG,banking_state,Industrial and manufacturing sector lender. Steel and consumer sector health affects CTG loan quality. | CTG là công ty mẹ của CTS (VietinBank Securities).
ACB,banking_private,Retail-focused bank. Gold trading regulation (liên quan PNJ) can impact ACB. | ACB từng nắm cổ phần lớn tại PNJ — sở hữu chéo lịch sử.
TCB,banking_private,Heavily exposed to Vingroup ecosystem. VHM/VIC news often affects TCB. | MSN nắm ~15% TCB — sở hữu chéo chiến lược Masan-Techcombank.
MBB,banking_private,Military-linked bank. Strong retail and SME franchise. | MBB mẹ của MBS. Cùng hệ quân đội với Viettel (VGI).
VPB,banking_private,High consumer finance / unsecured lending exposure. Consumer spending data affects VPB quality.
STB,banking_private,Recovering from bad debt restructuring. Regulatory update on bad debt handling moves STB.
HDB,banking_private,"Close relationship with HD Group (HDC, HDG). News about HD Group affects HDB. | HDB là trụ cột hệ sinh thái HD Group; sở hữu HCM (HFSC), liên kết HDC, HDG."
SHB,banking_private,Linked to T&T Group. Real estate and infrastructure project loans. | SHB mẹ của SHS (SHB Securities). Thuộc hệ T&T Group (Đỗ Quang Hiển).
VIB,banking_private,Strong auto loan and mortgage portfolio.
TPB,banking_private,Linked to FPT Group ecosystem. Tech-forward retail banking. | FPT Group nắm cổ phần chiến lược tại TPBank — sở hữu chéo FPT-TPB.
LPB,banking_private,Post Office distribution network. Rural and SME focus.
MSB,banking_private,Maritime-linked origins. Trade finance and SME.
OCB,banking_private,Retail-focused smaller private bank.
SSB,banking_private,Southeast Asia Commercial Bank. Smaller cap private bank.
SSI,securities,Largest securities firm. Market liquidity and margin credit policy directly impact all securities stocks.
HCM,securities,HFSC is subsidiary of HDBank group. | HCM (HFSC) là công ty con của HDBank — thuộc hệ HD Group.
VND,securities,VNDirect. Strong retail investor base.
VCI,securities,Viet Capital Securities. Strong in institutional and bond markets.
MBS,securities,Subsidiary of MB Bank. MB Bank news directly affects MBS. | MBS là công ty con của MBB. Cùng hệ quân đội.
SHS,securities,"SHB Securities, linked to SHB bank. | SHS là công ty con của SHB. Thuộc hệ T&T Group."
FTS,securities,Finhay Technology Securities.
BSI,securities,Subsidiary of BIDV bank. | BSI là công ty con của BIDV (BID).
CTS,securities,Subsidiary of VietinBank. | CTS là công ty con của VietinBank (CTG).
AGR,securities,Agribank Securities. Agricultural sector exposure.
