ticker,analysisDate,articleCount,sentiment,impactHorizon,confidence,newsScore,summary,bullPoints,bearPoints,riskFlags,modelName,updatedAt
ACB,2026-07-10,1,neutral,5d,0.6,0.1,"ACB is launching a new installment payment program using credit cards, offering 0% interest rates with partner merchants and low conversion fees. This initiative aims to provide customers with greater flexibility in managing their spending plans, both domestically and internationally. The program will also extend to foreign partners starting July 16th.",Enhanced customer spending flexibility through 0% installment plans. | Potential to attract new customers and increase credit card usage. | Competitive offering with low fees for domestic and international installments.,"This is a standard promotional offering for credit cards, not a groundbreaking development. | The success of the program depends on merchant adoption and customer uptake. | Increased credit card usage could lead to higher potential for non-performing loans if not managed carefully.",Credit risk: Increased credit card spending could lead to higher default rates. | Competition: Other banks likely offer similar installment programs. | Execution risk: Success hinges on effective marketing and partner integration.,gemini-2.5-flash-lite,2026-07-10 11:30:10
FPT,2026-07-10,1,neutral,1d,0.4,0.0,FPT's community fund has contributed to the renovation of 15 school restrooms in Quang Tri province.  The initiative also included donations of teaching equipment and gifts for students. This CSR activity highlights FPT's social responsibility efforts.,Positive corporate social responsibility (CSR) initiative. | Enhances FPT's brand image and community engagement. | Supports educational infrastructure and student welfare.,This is a routine CSR activity and unlikely to have a material financial impact on FPT. | The scale of the initiative is small relative to FPT's overall operations. | The market likely already factors in such CSR activities as part of FPT's corporate profile.,"No direct financial or strategic risk identified, but the lack of significant news suggests a quiet period for the stock.",gemini-2.5-flash-lite,2026-07-10 11:30:16
HPG,2026-07-10,1,neutral,mixed,0.4,0.0,"SSI Research has identified 8 companies with notable growth potential for the second half of the year, with opportunities expected to be concentrated in businesses demonstrating clear profit growth drivers. The market in July is anticipated to continue its differentiated performance. HPG is not explicitly mentioned in this article, making its inclusion speculative.",SSI Research identifies companies with clear profit growth drivers. | Potential for market opportunities in the second half of the year.,"HPG is not explicitly named in the article, making its inclusion as a 'notable' company speculative. | The market is expected to continue its differentiated performance, implying selective opportunities rather than broad gains.",Sector headwinds: The steel sector is cyclical and sensitive to economic downturns and input cost fluctuations. | Macro risks: General market volatility and economic uncertainty can impact steel demand and profitability.,gemini-2.5-flash-lite,2026-07-10 11:30:22
MACRO,2026-07-10,8,neutral,mixed,0.4,0.0,"The provided articles offer a mixed bag of macro-level news with no direct impact on ticker MACRO. Several articles discuss infrastructure development, such as a new road connecting a highway to the coast in Ho Chi Minh City and a scenic train route. Other items touch on local administrative changes and tax regulations. There is also a mention of an unusual event at Sun PhuQuoc Airways.","Infrastructure development, like the new road in HCMC, could indirectly support economic activity. | A scenic train route highlighted by a US magazine may boost tourism in the long term.",The news is entirely macro-level and does not provide any specific information or catalysts for ticker MACRO. | The 'unusual event' at Sun PhuQuoc Airways is vague and could imply operational issues or regulatory scrutiny.,"Lack of company-specific news means no direct insight into MACRO's performance or outlook. | General regulatory discussions (e.g., forex tax) could signal a tightening environment for businesses. | The broad nature of the macro news makes it difficult to assess any specific impact on MACRO's sector.",gemini-2.5-flash-lite,2026-07-10 11:30:52
PNJ,2026-07-10,6,neutral,mixed,0.6,0.0,"PNJ is facing significant selling pressure on its stock, with recent buyers potentially incurring losses. The company is exploring international expansion for jewelry processing amidst a domestic diamond market crisis and consumer trust issues. The CEO has addressed a personal misconduct issue involving a former employee, stating it was outside of work hours.","PNJ is seeking international partnerships for jewelry processing, diversifying revenue streams. | The CEO has publicly addressed a personal misconduct issue, aiming to mitigate reputational damage. | The company continues to import diamonds from established markets like Hong Kong and Thailand.","PNJ's stock is experiencing strong selling pressure, leading to losses for recent buyers. | The domestic diamond market is in crisis, with consumer trust severely shaken. | The company's international expansion strategy is being pursued in the context of these domestic challenges.","Sector Headwinds: The domestic diamond market crisis and shaken consumer confidence pose significant risks. | Reputational Risk: The CEO's statement addresses a personal misconduct issue, which could still impact brand perception. | Market Volatility: The stock is experiencing strong selling pressure, indicating potential investor concern.",gemini-2.5-flash-lite,2026-07-10 11:30:58
REE,2026-07-10,1,neutral,mixed,0.6,0.1,"Bà Nguyễn Thị Mai Thanh, người đứng đầu REE trong hơn ba thập kỷ, đã chính thức rời ghế Chủ tịch Hội đồng Quản trị để tuân thủ quy định quản trị doanh nghiệp. Tuy nhiên, bà sẽ tiếp tục đóng góp vào chiến lược của tập đoàn với vai trò Chủ tịch Ủy ban Chiến lược.",Bà Thanh tiếp tục giữ vai trò quan trọng trong hoạch định chiến lược. | Việc tuân thủ quy định quản trị doanh nghiệp có thể cải thiện hình ảnh quản trị.,"Sự thay đổi lãnh đạo chủ chốt sau thời gian dài có thể tạo ra sự không chắc chắn ban đầu. | Thị trường có thể đã định giá sự thay đổi này, nên tác động tích cực có thể hạn chế.",Regulatory risk: Thay đổi lãnh đạo để tuân thủ quy định quản trị doanh nghiệp.,gemini-2.5-flash-lite,2026-07-10 11:31:08
SHB,2026-07-10,1,neutral,5d,0.6,0.1,"SHB has launched a new feature called ""Sinh lời nhàn tênh"" on its SHB SAHA digital banking app. This feature aims to help customers optimize idle cash and increase returns, offering potential earnings of up to 6% per year. The goal is to provide a smart financial solution for daily spending and management.",New digital feature aims to attract and retain customers. | Potential to increase customer engagement and deposit base. | Offers a competitive interest rate of up to 6%.,"The 6% rate is a maximum and may not be guaranteed for all customers or balances. | The actual impact on SHB's profitability is unclear without more details on adoption and cost. | This is a product enhancement, not a fundamental business change.",Competition in digital banking features is intense. | Regulatory scrutiny on digital financial products could arise. | Macroeconomic conditions could impact deposit growth and interest rate competitiveness.,gemini-2.5-flash-lite,2026-07-10 11:31:23
STB,2026-07-10,1,neutral,5d,0.4,0.0,"Preliminary H1 2026 results for the banking sector show significant divergence. One bank's profit is estimated to have fallen by 50%, with leadership citing a difficult situation and potential surge in non-performing loans. This highlights a challenging operating environment for some institutions.","Sector performance is diverging, suggesting some banks may be outperforming. | The news provides an update on the banking sector's performance, offering market insight.","The article highlights a bank with a 50% profit decline and potential NPL increase, indicating significant headwinds. | The ""difficult situation"" and ""nan giải"" ( giải nan) mentioned by leadership suggest deep-seated issues beyond a simple downturn. | The news is a general sector update, not specific to STB, limiting direct positive impact.","Sector headwinds: The article explicitly mentions a bank facing a 50% profit drop and potential NPL increase, indicating broader sector challenges. | Asset quality concerns: The mention of rising non-performing loans is a significant risk for any financial institution. | Macroeconomic uncertainty: While not detailed, a 50% profit drop in a bank suggests underlying economic pressures that could affect STB.",gemini-2.5-flash-lite,2026-07-10 11:31:29
TCB,2026-07-10,1,neutral,1d,0.6,0.1,"Techcombank is co-organizing the National Financial Forum 2026 (VFF 2026) in Da Nang. This event brings together financial leaders and policymakers to discuss key issues. While the forum's success could indirectly benefit TCB through enhanced industry dialogue and potential policy insights, the direct impact on the bank's financials is not immediately clear.",TCB demonstrates leadership by co-organizing a significant national financial forum. | Participation in VFF 2026 can enhance TCB's industry standing and network. | The forum may lead to valuable insights and discussions relevant to the financial sector's future.,Co-organizing an event is a standard corporate activity and unlikely to drive significant stock price movement. | The direct financial benefit to TCB from hosting a forum is not quantifiable from this news. | The market may have already priced in TCB's role in such industry events.,No direct financial impact or strategic advantage is immediately evident from this event. | Resource allocation for event organization could be a minor opportunity cost.,gemini-2.5-flash-lite,2026-07-10 11:31:55
VCB,2026-07-10,1,neutral,1d,0.6,0.1,"Vietcombank announced its average lending interest rate for May 2026 was 7.2% per year, an increase from previous months. The spread between the average lending rate and average deposit rate stood at 3.5% per year. This information is a routine disclosure for a financial institution.",Increased lending rates could signal stronger loan demand or a more favorable interest rate environment for banks. | A 3.5% spread between lending and deposit rates indicates a healthy net interest margin for the bank.,"The increase in lending rates might reflect rising funding costs for the bank, potentially pressuring future profitability if deposit rates also rise significantly. | The market may have already priced in this typical seasonal or economic trend in lending rates.",Interest rate risk: Fluctuations in interest rates can impact a bank's net interest margin and the value of its assets. | Credit risk: Higher lending rates could potentially increase the risk of loan defaults if borrowers struggle to repay.,gemini-2.5-flash-lite,2026-07-10 11:32:02
